N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.9531083481349911,0.9327748520143887,0.9331433724804056,0.029411764705882353,0.4760097649371006,0.05445797907120605
Model2,500,2,1,0.9564120781527531,0.9386959873092734,0.9401733429668672,0.10784313725490197,0.536348099709901,0.17358569532456866
Model3,500,3,1,0.9528952042628774,0.9080092703071909,0.9299109018498717,0.0,0.0,0.0
Model4,500,1,2,0.9625932504440498,0.9502583960662138,0.9521371910873692,0.2549019607843137,0.6178196489458301,0.35022810458130044
Model5,500,2,2,0.9609946714031972,0.9604953197592297,0.960446756980913,0.47435897435897434,0.531131064995933,0.49647067827628905
Model6,500,3,2,0.9698756660746004,0.9645827501547013,0.9649561798580466,0.4419306184012066,0.709824575310827,0.5294341772558314
Model7,800,1,2,0.9653285968028419,0.9543138582667499,0.9567009872332451,0.3114630467571644,0.6478994339413439,0.41752708253093257
Model8,800,2,2,0.9702309058614564,0.9728555888009065,0.9706976149200474,0.5641025641025641,0.7386081901093351,0.6335798325172407
Model9,800,3,2,0.9721847246891652,0.9698277193452566,0.9677219252207505,0.46153846153846156,0.8298955350494087,0.5781854833358494
